iter	Passed	Remaining
701	41659	17684
702	41711	17621
703	41767	17561
704	41824	17501
705	41882	17441
706	41935	17379
707	41991	17318
708	42053	17260
709	42118	17203
710	42184	17146
711	42246	17088
712	42311	17031
713	42371	16972
714	42431	16913
715	42485	16851
716	42554	16796
717	42618	16738
718	42676	16678
719	42732	16618
720	42797	16560
721	42854	16500
722	42906	16438
723	42959	16376
724	43020	16318
725	43074	16256
726	43135	16198
727	43192	16137
728	43248	16077
729	43306	16017
730	43362	15957
731	43415	15895
732	43474	15835
733	43530	15775
734	43580	15712
735	43636	15652
736	43692	15591
737	43753	15533
738	43811	15473
739	43877	15416
740	43942	15359
741	44001	15299
742	44059	15239
743	44113	15178
744	44174	15120
745	44230	15059
746	44284	14998
747	44342	14938
748	44402	14879
749	44458	14819
750	44512	14758
751	44581	14702
752	44655	14647
753	44718	14589
754	44776	14530
755	44835	14470
756	44898	14412
757	44955	14352
758	45012	14292
759	45068	14232
760	45134	14174
761	45186	14113
762	45246	14054
763	45301	13993
764	45363	13935
765	45417	13874
766	45471	13813
767	45523	13752
768	45588	13694
769	45649	13635
770	45703	13574
771	45762	13515
772	45827	13457
773	45883	13397
774	45946	13339
775	46002	13279
776	46066	13221
777	46121	13160
778	46178	13100
779	46244	13043
780	46315	12987
781	46374	12927
782	46439	12870
783	46494	12809
784	46554	12750
785	46608	12689
786	46664	12629
787	46718	12569
788	46772	12508
789	46840	12451
790	46894	12390
791	46951	12330
792	47013	12272
793	47078	12214
794	47142	12156
795	47197	12095
796	47257	12036
797	47314	11976
798	47376	11918
799	47438	11859
800	47498	11800
801	47551	11739
802	47607	11679
803	47667	11620
804	47729	11561
805	47784	11501
806	47838	11441
807	47893	11380
808	47952	11321
809	48014	11262
810	48070	11202
811	48130	11143
812	48188	11084
813	48246	11024
814	48304	10964
815	48364	10905
816	48424	10846
817	48476	10785
818	48536	10726
819	48599	10668
820	48663	10609
821	48719	10550
822	48775	10490
823	48828	10429
824	48885	10369
825	48947	10311
826	49005	10251
827	49060	10191
828	49122	10132
